row ,county_name,state_abbr,votes_total,votes_dem,votes_gop,combined_fips,per_dem,per_gop
0,Autauga County,AL,23909,6354,17366,1001,0.265757664,0.726337362
1,Baldwin County,AL,84988,18329,65772,1003,0.215665741,0.773897491
2,Barbour County,AL,11459,5873,5539,1005,0.512522908,0.483375513
3,Bibb County,AL,8391,2200,6131,1007,0.262185675,0.730663806
4,Blount County,AL,23980,2961,20741,1009,0.123477898,0.864929108
5,Bullock County,AL,5318,4058,1250,1011,0.763068823,0.235050771
6,Butler County,AL,9483,4367,5081,1013,0.460508278,0.535800907
7,Calhoun County,AL,46240,15500,30272,1015,0.335207612,0.65467128
8,Chambers County,AL,14562,6853,7596,1017,0.470608433,0.521631644
9,Cherokee County,AL,9761,2126,7494,1019,0.217805553,0.767749206
10,Chilton County,AL,17434,3391,13910,1021,0.19450499,0.797866238
11,Choctaw County,AL,7965,3785,4150,1023,0.475204018,0.521029504
12,Clarke County,AL,13827,6317,7463,1025,0.456859767,0.539741086
13,Clay County,AL,6640,1770,4802,1027,0.266566265,0.723192771
14,Cleburne County,AL,6302,971,5269,1029,0.15407807,0.836083783
15,Coffee County,AL,19715,4899,14638,1031,0.248490997,0.742480345
16,Colbert County,AL,23374,9160,13931,1033,0.391888423,0.596004107
17,Conecuh County,AL,7013,3551,3434,1035,0.506345359,0.489662056
18,Coosa County,AL,5243,2188,3028,1037,0.417318329,0.577531947
19,Covington County,AL,15415,3155,12148,1039,0.204670775,0.788063574
20,Crenshaw County,AL,6411,2048,4326,1041,0.319450944,0.674777726
21,Cullman County,AL,33178,4855,27930,1043,0.146331907,0.841822895
22,Dale County,AL,18551,5283,13105,1045,0.284782492,0.70643092
23,Dallas County,AL,20936,14599,6284,1047,0.697315629,0.300152847
24,DeKalb County,AL,23842,5235,18316,1049,0.219570506,0.768224142
25,Elmore County,AL,35440,8940,26223,1051,0.252257336,0.739926637
26,Escambia County,AL,14832,5476,9263,1053,0.369201726,0.624528047
27,Etowah County,AL,42490,12792,29102,1055,0.301059073,0.684914097
28,Fayette County,AL,7912,1803,6034,1057,0.227881699,0.762639029
29,Franklin County,AL,10859,3171,7567,1059,0.292015839,0.69684133
30,Geneva County,AL,11318,2039,9173,1061,0.180155505,0.810478883
31,Greene County,AL,5328,4514,799,1063,0.847222222,0.149962462
32,Hale County,AL,8628,5401,3205,1065,0.625985165,0.371464998
33,Henry County,AL,8700,3046,5605,1067,0.350114943,0.644252874
34,Houston County,AL,41843,12348,29214,1069,0.295103124,0.698181297
35,Jackson County,AL,20555,5817,14422,1071,0.282996838,0.701629774
36,Jefferson County,AL,303424,159658,141413,1073,0.526187777,0.466057398
37,Lamar County,AL,7159,1643,5453,1075,0.229501327,0.761698561
38,Lauderdale County,AL,36908,12504,23902,1077,0.338788339,0.647610274
39,Lawrence County,AL,14079,5055,8855,1079,0.359045387,0.62895092
40,Lee County,AL,54115,21274,32062,1081,0.393125751,0.59247898
41,Limestone County,AL,35406,9809,25263,1083,0.277043439,0.713523132
42,Lowndes County,AL,7519,5747,1754,1085,0.764330363,0.233275702
43,Macon County,AL,10385,9045,1322,1087,0.870967742,0.127298989
44,Madison County,AL,154632,61802,90679,1089,0.399671478,0.586418076
45,Marengo County,AL,11509,6154,5321,1091,0.534711965,0.462333826
46,Marion County,AL,12104,2249,9696,1093,0.185806345,0.801057502
47,Marshall County,AL,32455,6271,25785,1095,0.193221383,0.794484671
48,Mobile County,AL,174189,78417,94566,1097,0.450183421,0.542893064
49,Monroe County,AL,10680,4897,5730,1099,0.458520599,0.536516854
50,Montgomery County,AL,101781,62993,38283,1101,0.618907262,0.376131105
51,Morgan County,AL,49198,13401,35309,1103,0.272389122,0.717691776
52,Perry County,AL,6065,4536,1504,1105,0.747897774,0.247980214
53,Pickens County,AL,9599,4448,5119,1107,0.463381602,0.533284717
54,Pike County,AL,14057,6009,7939,1109,0.427473856,0.564772
55,Randolph County,AL,10391,3076,7219,1111,0.296025407,0.694735829
56,Russell County,AL,18871,10495,8276,1113,0.556144348,0.438556515
57,St. Clair County,AL,35105,5790,29001,1115,0.16493377,0.826121635
58,Shelby County,AL,92204,19944,71243,1117,0.21630298,0.772667129
59,Sumter County,AL,7025,5420,1585,1119,0.771530249,0.225622776
60,Talladega County,AL,33317,13878,19217,1121,0.416544107,0.576792628
61,Tallapoosa County,AL,18668,6252,12303,1123,0.33490465,0.659042211
62,Tuscaloosa County,AL,78495,32003,45703,1125,0.407707497,0.582240907
63,Walker County,AL,28497,6551,21633,1127,0.229883847,0.75913254
64,Washington County,AL,8761,2971,5749,1129,0.339116539,0.65620363
65,Wilcox County,AL,6547,4867,1676,1131,0.743393921,0.255995112
66,Winston County,AL,9712,1286,8310,1133,0.132413509,0.855642504
67,Apache County,AZ,25465,16833,8198,4001,0.661024936,0.321932064
68,Cochise County,AZ,43776,16223,26742,4003,0.370591192,0.610882675
69,Coconino County,AZ,46746,26316,19368,4005,0.562957258,0.41432422
70,Gila County,AZ,18477,6650,11525,4007,0.359906911,0.623748444
71,Graham County,AZ,11854,3608,8076,4009,0.304369833,0.681289016
72,Greenlee County,AZ,2972,1310,1590,4011,0.440780619,0.534993271
73,La Paz County,AZ,4922,1619,3205,4012,0.328931329,0.651158066
74,Maricopa County,AZ,1187008,512008,654835,4013,0.431343344,0.551668565
75,Mohave County,AZ,65949,18324,46442,4015,0.277851067,0.70421083
76,Navajo County,AZ,35775,16157,19155,4017,0.451628232,0.535429769
77,Pima County,AZ,351817,183470,162927,4019,0.521492708,0.463101556
78,Pinal County,AZ,102139,41428,58947,4021,0.405604128,0.57712529
79,Santa Cruz County,AZ,13894,9486,4235,4023,0.682740751,0.304807831
80,Yavapai County,AZ,96790,32624,62385,4025,0.337059614,0.644539725
81,Yuma County,AZ,33935,14025,19500,4027,0.413290113,0.574627965
82,Arkansas County,AR,6488,2454,3892,5001,0.378236745,0.599876695
83,Ashley County,AR,7915,2855,4866,5003,0.360707517,0.614782059
84,Baxter County,AR,19339,5172,13688,5005,0.267438854,0.707792544
85,Benton County,AR,77525,22144,53477,5007,0.285636891,0.689803289
86,Boone County,AR,15363,3762,11143,5009,0.244874048,0.725314066
87,Bradley County,AR,3634,1447,2118,5011,0.398183819,0.582828839
88,Calhoun County,AR,2174,660,1458,5013,0.303587856,0.670653174
89,Carroll County,AR,10172,3691,6121,5015,0.362858828,0.601749902
90,Chicot County,AR,4361,2649,1670,5017,0.607429489,0.382939693
91,Clark County,AR,8406,3808,4343,5019,0.453009755,0.51665477
92,Clay County,AR,5110,1738,3225,5021,0.340117417,0.63111546
93,Cleburne County,AR,11643,2618,8691,5023,0.224856137,0.746457099
94,Cleveland County,AR,3266,845,2313,5025,0.258726271,0.708205756
95,Columbia County,AR,9455,3557,5790,5027,0.376203067,0.612374405
96,Conway County,AR,7724,3003,4511,5029,0.388788193,0.584023822
97,Craighead County,AR,31207,10351,20044,5031,0.331688403,0.642291794
98,Crawford County,AR,20562,4872,15125,5033,0.236941932,0.735580196
99,Crittenden County,AR,15513,9092,6192,5035,0.586089087,0.399149101
100,Cross County,AR,6680,2279,4268,5037,0.341167665,0.638922156
101,Dallas County,AR,3083,1337,1664,5039,0.433668505,0.539734025
102,Desha County,AR,4240,2353,1807,5041,0.55495283,0.426179245
103,Drew County,AR,6626,2627,3883,5043,0.396468458,0.586024751
104,Faulkner County,AR,41322,13559,26653,5045,0.328130294,0.645007502
105,Franklin County,AR,6539,1725,4631,5047,0.263801805,0.708212265
106,Fulton County,AR,4522,1452,2949,5049,0.32109686,0.652145069
107,Garland County,AR,39241,13317,25031,5051,0.33936444,0.637878749
108,Grant County,AR,6478,1467,4829,5053,0.226458784,0.745446125
109,Greene County,AR,13754,3998,9066,5055,0.290679075,0.659153701
110,Hempstead County,AR,6919,2466,4284,5057,0.356409886,0.619164619
111,Hot Spring County,AR,11239,3824,7087,5059,0.340243794,0.630572115
112,Howard County,AR,4419,1460,2862,5061,0.330391491,0.647657841
113,Independence County,AR,12390,3279,8724,5063,0.26464891,0.704116223
114,Izard County,AR,5313,1563,3571,5065,0.294184077,0.672124976
115,Jackson County,AR,5338,2093,3065,5067,0.392094417,0.574185088
116,Jefferson County,AR,27364,17456,9515,5069,0.637918433,0.347719632
117,Johnson County,AR,8064,2785,5045,5071,0.345362103,0.62562004
118,Lafayette County,AR,2928,1173,1712,5073,0.400614754,0.584699454
119,Lawrence County,AR,5537,1786,3535,5075,0.322557342,0.638432364
120,Lee County,AR,3424,2107,1280,5077,0.61536215,0.373831776
121,Lincoln County,AR,3725,1424,2199,5079,0.382281879,0.59033557
122,Little River County,AR,5051,1552,3385,5081,0.307265888,0.670164324
123,Logan County,AR,7330,2009,5078,5083,0.274079127,0.692769441
124,Lonoke County,AR,24083,5612,17863,5085,0.233027447,0.741726529
125,Madison County,AR,6567,2099,4262,5087,0.319628445,0.649002589
126,Marion County,AR,7029,2024,4771,5089,0.287949922,0.678759425
127,Miller County,AR,15329,4518,10622,5091,0.294735469,0.69293496
128,Mississippi County,AR,13349,6445,6599,5093,0.482807701,0.494344146
129,Monroe County,AR,3230,1583,1585,5095,0.490092879,0.490712074
130,Montgomery County,AR,3403,920,2368,5097,0.270349691,0.695856597
131,Nevada County,AR,3384,1314,1996,5099,0.388297872,0.589834515
132,Newton County,AR,3661,993,2508,5101,0.271237367,0.685058727
133,Ouachita County,AR,10303,4626,5516,5103,0.448995438,0.535378045
134,Perry County,AR,3937,1187,2580,5105,0.301498603,0.655321311
135,Phillips County,AR,7900,5179,2591,5107,0.65556962,0.327974684
136,Pike County,AR,3787,850,2847,5109,0.224452073,0.751782414
137,Poinsett County,AR,7550,2387,4967,5111,0.31615894,0.657880795
138,Polk County,AR,7721,1556,5950,5113,0.201528299,0.770625567
139,Pope County,AR,20390,5108,14733,5115,0.250514958,0.722560078
140,Prairie County,AR,3134,877,2149,5117,0.279834078,0.685705169
141,Pulaski County,AR,159055,87055,68856,5119,0.547326397,0.432906856
142,Randolph County,AR,5948,2040,3699,5121,0.342972428,0.621889711
143,St. Francis County,AR,8021,4652,3287,5123,0.579977559,0.409799277
144,Saline County,AR,47059,12868,32962,5125,0.273443975,0.700439873
145,Scott County,AR,3637,895,2630,5127,0.246081936,0.723123453
146,Searcy County,AR,3694,814,2699,5129,0.220357336,0.730644288
147,Sebastian County,AR,43340,13083,29158,5131,0.301868943,0.672773419
148,Sevier County,AR,4328,1042,3135,5133,0.240757856,0.72435305
149,Sharp County,AR,7282,2092,4920,5135,0.287283713,0.675638561
150,Stone County,AR,5351,1356,3773,5137,0.253410577,0.70510185
151,Union County,AR,17160,6182,10696,5139,0.36025641,0.623310023
152,Van Buren County,AR,6421,1826,4362,5141,0.28437938,0.679333437
153,Washington County,AR,70231,28136,39570,5143,0.400620808,0.563426407
154,White County,AR,26508,5765,20005,5145,0.217481515,0.754677833
155,Woodruff County,AR,2685,1340,1227,5147,0.499068901,0.45698324
156,Yell County,AR,5971,1720,4041,5149,0.288058952,0.67677106
157,Alameda County,CA,558386,438091,104330,6001,0.78456659,0.186842077
158,Alpine County,CA,647,389,236,6003,0.601236476,0.364760433
159,Amador County,CA,15303,6001,8903,6005,0.392145331,0.58178135
160,Butte County,CA,70163,32567,35312,6007,0.464162023,0.503285207
161,Calaveras County,CA,18469,7404,10537,6009,0.400887974,0.57052358
162,Colusa County,CA,5865,2248,3521,6011,0.383290708,0.600341006
163,Contra Costa County,CA,351257,230826,112547,6013,0.657142776,0.32041212
164,Del Norte County,CA,7940,3396,4256,6015,0.427707809,0.536020151
165,El Dorado County,CA,85923,34033,49661,6017,0.396087194,0.577970974
166,Fresno County,CA,180244,85862,91143,6019,0.476365371,0.505664544
167,Glenn County,CA,9142,3276,5608,6021,0.358346095,0.613432509
168,Humboldt County,CA,46269,27757,15653,6023,0.599904904,0.338304264
169,Imperial County,CA,27453,17464,9545,6025,0.63614177,0.347685135
170,Inyo County,CA,6501,2775,3541,6027,0.426857407,0.544685433
171,Kern County,CA,168116,64690,99840,6029,0.384793833,0.593875657
172,Kings County,CA,30139,12282,17184,6031,0.407511862,0.570158267
173,Lake County,CA,16274,9159,6474,6033,0.562799558,0.397812462
174,Lassen County,CA,10603,3044,7261,6035,0.28708856,0.684806187
175,Los Angeles County,CA,2427869,1672164,699600,6037,0.688737325,0.288153933
176,Madera County,CA,32372,12698,18990,6039,0.392252564,0.586618065
177,Marin County,CA,99286,73450,23347,6041,0.739782044,0.235148964
178,Mariposa County,CA,7805,3080,4434,6043,0.394618834,0.568097373
179,Mendocino County,CA,17928,11869,5129,6045,0.662037037,0.2860888
180,Merced County,CA,50538,26128,23403,6047,0.516997111,0.463077288
181,Modoc County,CA,3986,1113,2779,6049,0.279227296,0.697190166
182,Mono County,CA,4917,2574,2202,6051,0.523489933,0.447834045
183,Monterey County,CA,78522,51712,25087,6053,0.658567026,0.319490079
184,Napa County,CA,32332,19964,11647,6055,0.617468762,0.36023135
185,Nevada County,CA,30864,14261,15696,6057,0.462059357,0.508553655
186,Orange County,CA,1021315,457077,541592,6059,0.447537733,0.530288892
187,Placer County,CA,126325,49126,74460,6061,0.38888581,0.589432021
188,Plumas County,CA,9128,3670,5240,6063,0.402059597,0.574057844
189,Riverside County,CA,589721,287754,290227,6065,0.487949386,0.492142895
190,Sacramento County,CA,388090,221063,157688,6067,0.569617872,0.406318122
191,San Benito County,CA,14972,8617,6052,6069,0.57554101,0.404221213
192,San Bernardino County,CA,531692,274203,245468,6071,0.515717746,0.4616733
193,San Diego County,CA,928256,478386,431046,6073,0.515359987,0.464361125
194,San Francisco County,CA,321023,267857,42654,6075,0.834385698,0.132868984
195,San Joaquin County,CA,149587,80005,66742,6077,0.534839257,0.446175136
196,San Luis Obispo County,CA,117597,57655,56500,6079,0.490276112,0.480454433
197,San Mateo County,CA,211814,151036,56244,6081,0.713059571,0.265534856
198,Santa Barbara County,CA,147249,84279,59096,6083,0.572357028,0.401333795
